Economic Benefits,Phosphorus,Inertia,Reliability,EB>0.2,Rel>0.95,Both 
0.401108988,-1.128654288,0.996363636,0.9038,0.741,0.602,0.365
0.401648529,-1.124269421,0.998787879,0.8981,0.731,0.58,0.338
0.402015308,-0.309747112,0.988787879,0.9632,0.986,0.149,0.141
0.410006448,-0.335013344,0.988686869,0.9584,0.971,0.26,0.237
0.410024089,-1.250725412,0.99030303,0.8912,0.741,0.588,0.351
0.410054525,-0.333248179,0.989393939,0.9564,0.974,0.217,0.196
0.4100577,-0.319978543,0.974646465,0.9624,0.908,0.589,0.501
0.410126952,-0.329707462,0.98989899,0.9452,0.936,0.395,0.333
0.41013695,-0.329447601,0.983131313,0.9631,0.886,0.647,0.536
0.410222592,-1.249036089,0.999191919,0.8885,0.736,0.599,0.356
0.41025352,-0.360739078,0.989292929,0.9572,0.885,0.66,0.547
0.410286753,-0.339761825,0.986666667,0.9598,0.981,0.219,0.203
0.410339104,-1.238648572,1,0.8854,0.748,0.614,0.38
0.410382209,-1.230988753,0.995252525,0.8891,0.736,0.594,0.349
0.410388411,-1.218575266,0.999494949,0.8828,0.73,0.593,0.347
0.410409171,-1.296871388,0.99979798,0.8893,0.736,0.598,0.355
0.410508585,-0.330904572,0.984343434,0.9628,0.886,0.648,0.536
0.410804151,-1.206246963,0.992020202,0.8898,0.737,0.596,0.355
0.411918464,-1.224137668,0.997777778,0.888,0.736,0.595,0.352
0.420008075,-0.357321135,0.989090909,0.9541,0.882,0.659,0.543
0.420015385,-1.285129334,0.994444444,0.8771,0.74,0.59,0.35
0.420091937,-0.33375579,0.988282828,0.9533,0.975,0.203,0.183
0.420207234,-0.338761781,0.985757576,0.9541,0.968,0.305,0.277
0.420336371,-0.337063553,0.98959596,0.9441,0.977,0.16,0.14
0.420494068,-1.315521876,0.99969697,0.8755,0.737,0.599,0.357
0.420593461,-0.340911705,0.98989899,0.9451,0.981,0.152,0.136
0.421920389,-1.290985344,0.995555556,0.8648,0.726,0.56,0.304
0.430029293,-0.370193215,0.982424242,0.9472,0.963,0.461,0.428
0.430042778,-0.363247764,0.983131313,0.9462,0.958,0.435,0.396
0.430082767,-1.440745631,0.992727273,0.8613,0.742,0.586,0.351
0.430130996,-0.373907544,0.986060606,0.9462,0.887,0.65,0.539
0.430134081,-1.458269445,0.993030303,0.8613,0.744,0.589,0.353
0.430239933,-1.400740972,0.99010101,0.8622,0.746,0.588,0.355
0.430256811,-1.452241294,0.999393939,0.8609,0.737,0.599,0.357
0.430400079,-1.391878945,0.997171717,0.8602,0.737,0.578,0.342
0.430561828,-0.356899803,0.987373737,0.9452,0.974,0.244,0.223
0.430669746,-1.42302895,0.999494949,0.8594,0.737,0.599,0.357
0.430804857,-0.359843198,0.98989899,0.9364,0.976,0.169,0.148
0.430823577,-1.399798754,0.99989899,0.8578,0.735,0.575,0.335
0.43105395,-0.354536344,0.988585859,0.9443,0.981,0.178,0.162
0.431568129,-0.378460044,0.989090909,0.9453,0.883,0.661,0.545
0.44003432,-0.378474437,0.941818182,0.9381,0.951,0.288,0.243
0.440159226,-0.379392298,0.98989899,0.9281,0.973,0.18,0.157
0.440188087,-0.384237623,0.985252525,0.9381,0.972,0.292,0.271
0.440460272,-0.378306864,0.988585859,0.9365,0.979,0.2,0.183
0.440502724,-0.398638534,0.989191919,0.9373,0.882,0.66,0.543
0.440769454,-0.378803515,0.987474747,0.9373,0.981,0.193,0.176
0.450015046,-0.398206486,0.986464646,0.9318,0.982,0.17,0.155
0.450025858,-0.396869702,0.987575758,0.9303,0.977,0.187,0.169
0.450034098,-0.401847796,0.98989899,0.9203,0.961,0.302,0.265
0.45006381,-0.399581462,0.985555556,0.9322,0.98,0.206,0.19
0.45008884,-0.381064917,0.983232323,0.9344,0.971,0.27,0.246
0.450141502,-0.37989063,0.972929293,0.9344,0.952,0.311,0.265
0.450259907,-0.419397156,0.989191919,0.9291,0.882,0.66,0.543
0.450397909,-0.390493716,0.981111111,0.9351,0.907,0.611,0.521
0.450744047,-0.396560824,0.988282828,0.9298,0.981,0.168,0.154
0.451824301,-0.399405042,0.98989899,0.9193,0.972,0.194,0.17
0.460010548,-0.41768163,0.988080808,0.9261,0.887,0.649,0.539
0.460177107,-0.402670061,0.984343434,0.9261,0.963,0.341,0.309
0.46043856,-0.399832218,0.989494949,0.9159,0.98,0.147,0.129
0.460615809,-0.397272373,0.988282828,0.9252,0.982,0.161,0.146
0.461339709,-0.401631819,0.98979798,0.9161,0.98,0.144,0.126
0.461375737,-0.439956473,0.989191919,0.9203,0.882,0.66,0.544
0.470095296,-0.426143452,0.983737374,0.9182,0.962,0.4,0.366
0.470244883,-0.438987179,0.989090909,0.9172,0.884,0.653,0.542
0.470351832,-0.419993968,0.987171717,0.9171,0.973,0.257,0.234
0.470512435,-0.436178,0.986363636,0.9181,0.887,0.65,0.539
0.470680121,-0.422229711,0.98989899,0.9081,0.969,0.207,0.178
0.47101298,-0.419557106,0.98959596,0.9074,0.975,0.16,0.138
0.472279752,-0.417771127,0.988181818,0.9164,0.982,0.155,0.141
0.480043225,-0.439276427,0.98989899,0.8991,0.965,0.228,0.194
0.480470807,-0.459043591,0.989393939,0.9091,0.885,0.649,0.539
0.480865095,-0.441476062,0.985656566,0.9092,0.981,0.221,0.204
0.481291522,-0.447771741,0.983434343,0.9101,0.965,0.364,0.334
0.48140151,-0.444776297,0.98989899,0.9003,0.978,0.16,0.141
0.481779295,-0.438948698,0.987070707,0.9081,0.981,0.178,0.161
0.483013724,-0.437403037,0.988080808,0.9073,0.981,0.169,0.155
0.490091952,-0.464723919,0.989191919,0.8935,0.98,0.144,0.126
0.490114952,-0.459734445,0.986161616,0.9021,0.981,0.167,0.152
0.490147746,-0.444527282,0.982222222,0.9064,0.958,0.313,0.276
0.490220251,-0.459803993,0.987272727,0.9018,0.983,0.164,0.15
0.490311095,-0.479187621,0.988080808,0.9011,0.884,0.652,0.541
0.49073969,-0.459059149,0.989191919,0.8903,0.967,0.201,0.171
0.490746477,-0.464055313,0.988181818,0.9003,0.985,0.149,0.138
0.490778684,-0.463446812,0.984242424,0.9036,0.976,0.256,0.235
0.490957717,-0.479772921,0.989393939,0.9007,0.884,0.651,0.541
0.492903788,-0.458855031,0.988181818,0.8995,0.983,0.151,0.14
0.500047252,-0.46580039,0.983232323,0.8981,0.956,0.353,0.316
0.500115145,-0.475620112,0.985050505,0.8981,0.889,0.648,0.539
0.500174798,-0.459989411,0.985858586,0.8971,0.978,0.166,0.152
0.500252339,-0.46332034,0.989191919,0.8882,0.983,0.141,0.127
0.500254668,-0.459427822,0.986464646,0.897,0.985,0.151,0.14
0.500597102,-0.461645509,0.987575758,0.8971,0.982,0.171,0.155
0.50169364,-0.481108744,0.988080808,0.8922,0.983,0.156,0.143
0.502073916,-0.502542373,0.989393939,0.8922,0.886,0.654,0.543
0.502461239,-0.478866807,0.988181818,0.8914,0.984,0.149,0.14
0.50727994,-0.499825913,0.989191919,0.8901,0.885,0.649,0.539
0.510064602,-0.488911933,0.983030303,0.8902,0.962,0.405,0.371
0.510124362,-0.498301922,0.988181818,0.8895,0.887,0.647,0.538
0.510190731,-0.502061427,0.989090909,0.8891,0.884,0.651,0.541
0.510322293,-0.484005844,0.98979798,0.8802,0.978,0.152,0.134
0.510497827,-0.479994927,0.985454545,0.8884,0.981,0.155,0.142
0.510532029,-0.483407377,0.986464646,0.8891,0.983,0.18,0.165
0.510620252,-0.496249474,0.985353535,0.8901,0.889,0.649,0.54
0.510767495,-0.47984107,0.986060606,0.8878,0.985,0.145,0.133
0.512045737,-0.482036901,0.987171717,0.8881,0.981,0.167,0.151
0.520089057,-0.518909795,0.983535354,0.8821,0.897,0.628,0.533
0.520143722,-0.522338052,0.989090909,0.8811,0.888,0.649,0.542
0.520444417,-0.503265855,0.962828283,0.8827,0.96,0.233,0.198
0.520571692,-0.503370966,0.986363636,0.8813,0.982,0.176,0.161
0.520833476,-0.506532506,0.98989899,0.8721,0.977,0.156,0.137
0.520877797,-0.502490057,0.987070707,0.8803,0.981,0.183,0.168
0.520968967,-0.518999422,0.988282828,0.8811,0.887,0.647,0.538
0.52104459,-0.499240433,0.983636364,0.8795,0.981,0.152,0.139
0.525208703,-0.499853421,0.985454545,0.8787,0.984,0.145,0.135
0.530040185,-0.522959681,0.986666667,0.8744,0.98,0.162,0.146
0.530042165,-0.505347904,0.981010101,0.8781,0.956,0.297,0.259
0.530147915,-0.508804841,0.983030303,0.878,0.953,0.394,0.352
0.530221358,-0.53987541,0.987070707,0.8731,0.889,0.648,0.539
0.530342356,-0.512567995,0.982020202,0.8784,0.902,0.612,0.518
0.530368745,-0.528921102,0.98989899,0.8656,0.979,0.152,0.136
0.530450834,-0.542362898,0.988484848,0.8732,0.884,0.649,0.54
0.530659768,-0.542501949,0.989090909,0.8725,0.884,0.651,0.541
0.530779896,-0.523222333,0.987272727,0.8725,0.982,0.161,0.148
0.530789791,-0.519466654,0.98989899,0.8613,0.949,0.273,0.224
0.534355819,-0.539816193,0.988282828,0.8713,0.887,0.648,0.539
0.54034484,-0.541622988,0.984141414,0.8703,0.895,0.634,0.535
0.540378368,-0.547777998,0.98989899,0.8588,0.98,0.148,0.131
0.540402085,-0.528273311,0.982323232,0.8702,0.957,0.361,0.324
0.540870354,-0.53789838,0.98989899,0.8522,0.941,0.349,0.292
0.541114985,-0.524139885,0.987171717,0.8691,0.983,0.158,0.144
0.541241515,-0.535815676,0.983535354,0.8702,0.89,0.635,0.532
0.541853002,-0.564708072,0.989090909,0.8642,0.885,0.654,0.542
0.550060669,-0.559979114,0.987070707,0.8613,0.888,0.647,0.538
0.550104579,-0.559445001,0.985353535,0.8621,0.892,0.64,0.535
0.550240893,-0.565037442,0.989494949,0.861,0.893,0.649,0.546
0.55047463,-0.561415525,0.988181818,0.8614,0.887,0.644,0.537
0.550541294,-0.548065092,0.98979798,0.8523,0.975,0.168,0.147
0.550728712,-0.544984542,0.986565657,0.8611,0.982,0.163,0.147
0.553117189,-0.543843592,0.987373737,0.8596,0.983,0.145,0.132
0.56000528,-0.58257741,0.983636364,0.8542,0.898,0.626,0.535
0.560021909,-0.566520185,0.986161616,0.8531,0.977,0.221,0.203
0.560123169,-0.567008686,0.936464646,0.8543,0.939,0.326,0.272
0.560147606,-0.58477946,0.989191919,0.8531,0.888,0.651,0.542
0.560269664,-0.574544285,0.981010101,0.8541,0.932,0.545,0.481
0.561627436,-0.579581474,0.987070707,0.853,0.888,0.649,0.539
0.562011054,-0.564215685,0.987474747,0.8513,0.986,0.146,0.135
0.570041437,-0.568909335,0.981414141,0.8502,0.946,0.357,0.305
0.57041187,-0.571137583,0.982424242,0.8503,0.967,0.311,0.281
